Year,Organization,Project,Type,Priority,Funding_Request,Funding_Award,Total_Score,App_Type,Priority_Category
2020,Catholic Charities/ILAP,Immigrant Legal Services,SS,EO,93811.0,,92.22222222,Social Services,EO
2020,COP- Public Health,Mobile Medical Outreach,SS,ANGP,75000.0,,91.69444444,Social Services,Other
2020,Furniture Friends,Basic Necessities Expansion,SS,ANGP,25000.0,,91.30555556,Social Services,Other
2020,Catherine Morrill Day Nursery,Portland CDBG Childcare Voucher Collaborative,SS,EO,83755.0,,91.11111111,Social Services,EO
2020,Portland Adult Education,New Mainers Resource Center Job Search Support Project,SS,EO,53900.0,,90.77777778,Social Services,EO
2020,Hope Acts,Housing Readiness Program,SS,ANGP,30000.0,,88.88888889,Social Services,Other
2020,Amistad,Peer Outreach Program,SS,ANGP,125000.0,,86.83333333,Social Services,Other
2020,Coastal Communities Workforce Inc.,Portland Teens Work,SS,EO,149787.0,,76.44444444,Social Services,EO
2020,Candys,Candy's Community and Organizational Incubator,SS,NI,89040.0,,55.33333333,Social Services,NI
2021,Youth and Family Outreach,337 Cumberland Ave,CON,HA,220000.0,220000.0,95.875,Construction/Development,HA
2021,Boys and Girls Club of Southern Maine,Kitchen Remodel ,CON,NI,80000.0,80000.0,88.75,Construction/Development,NI
2021,"COP - Parks, Recreation and Facilities",Community Gardens Equity Project,CON ,NI,98763.0,98763.0,86.25,Construction/Development,NI
2021,Port Resources,Group Home Heat Pump Project,CON,NI,26000.0,26000.0,86.0,Construction/Development,NI
2021,Alpha One,Critical Access Ramp Program ,CON,HA ,42000.0,42000.0,79.625,Construction/Development,HA
2021,COP - Department of Public Works,Washington Ave Sidewalk Accessibility Improvements ,CON ,NI,300000.0,289763.0,78.375,Construction/Development,NI
2021,Maine Irish Heritage Center,State Street Fence Restoration ,CON,NI,20000.0,,68.0,Construction/Development,NI
2021,Police Department,Community Policing (set aside),SS,NI,150000.0,150000.0,,Social Services,NI
2021,Preble Street,Florence House ,SS,ANGHP,27000.0,27000.0,96.875,Social Services,ANGHP
2021,Preble Street,Food Programs ,SS,ANGHP,55000.0,55000.0,96.125,Social Services,ANGHP
2021,Wayside,Direct Service Program ,SS,ANGHP,34000.0,34000.0,95.625,Social Services,ANGHP
2021,Hope Acts,Asylum Seeker Assistance Program ,SS,ANGHP,34617.0,34617.0,95.25,Social Services,ANGHP
2021,COP - Oxford Street Shelter,Long Term Stayers Initiative ,SS,ANGHP,59772.0,59772.0,95.25,Social Services,ANGHP
2021,Catherine Morrill Day Nursery,Portland CDBG Childcare Voucher Collaborative ,SS,EO,80808.0,80808.0,94.5,Social Services,EO
2021,Preble Street,Joe Kreisler Teen Shelter ,SS,ANGHP,27000.0,27000.0,94.125,Social Services,ANGHP
2021,Milestone,HOME Team ,SS,ANGHP,120000.0,120000.0,93.25,Social Services,ANGHP
2021,Furniture Friends,Basic Needs Expansion ,SS,ANGHP,25000.0,25000.0,92.875,Social Services,ANGHP
2021,Catholic Charities,Immigrant Legal Services,SS,EO,101608.0,101280.0,92.875,Social Services,EO
2021,COP-  Public Health Division,Mobile Medical Outreach,SS,ANGHP,75000.0,75000.0,89.5,Social Services,ANGHP
2021,Amistad & Portland Downtown,Peer Outreach Worker (POW) Program,SS,ANGHP,80000.0,80000.0,88.0,Social Services,ANGHP
2021,Greater Family Promise,Homelessness Prevention ,SS,ANGHP,40000.0,40000.0,87.0,Social Services,ANGHP
2021,Portland Fire Department,Diversity Recruitment Initiative ,SS,EO,19000.0,,68.25,Social Services,EO
